iter	Passed	Remaining
0	1	410
1	2	302
2	3	331
3	4	369
4	6	375
5	8	399
6	9	408
7	11	403
8	12	403
9	13	405
10	15	399
11	16	395
12	20	451
13	22	464
14	24	465
15	26	467
16	27	461
17	29	454
18	30	447
19	30	430
20	32	426
21	33	421
22	34	417
23	35	412
24	37	416
25	39	416
26	41	419
27	42	416
28	44	415
29	45	411
30	47	408
31	48	404
32	49	400
33	50	397
34	52	394
35	53	395
36	55	395
37	57	393
38	59	400
39	61	399
40	62	395
41	63	389
42	64	382
43	65	380
44	66	377
45	67	374
46	70	378
47	71	376
48	73	376
49	74	373
50	75	370
51	77	368
52	78	367
53	80	365
54	81	363
55	82	360
56	84	358
57	85	358
58	87	358
59	89	356
60	90	352
61	91	350
62	92	348
63	93	346
64	95	344
65	96	342
66	97	340
67	99	339
68	101	340
69	103	339
70	104	337
71	105	335
72	107	333
73	108	331
74	109	329
75	111	327
76	112	326
77	113	324
78	115	322
79	116	320
80	118	319
81	120	320
82	122	319
83	123	317
84	124	315
85	126	313
86	127	312
87	128	310
88	130	308
89	131	307
90	132	303
91	133	302
92	135	301
93	136	299
94	137	297
95	139	297
96	141	295
97	142	293
98	143	291
99	144	289
100	146	288
101	147	286
102	148	284
103	150	283
104	152	282
105	153	280
106	154	279
107	156	277
108	157	276
109	158	274
110	160	273
111	161	271
112	163	270
113	164	268
114	166	267
115	167	265
116	168	264
117	170	262
118	171	260
119	172	258
120	174	257
121	175	256
122	177	254
123	178	253
124	180	253
125	182	252
126	183	250
127	185	248
128	186	246
129	187	245
130	188	243
131	190	242
132	191	240
133	192	238
134	194	237
135	195	236
136	197	234
137	198	233
138	201	233
139	202	231
140	203	230
141	205	228
142	206	226
143	207	225
144	209	223
145	210	222
146	212	220
147	213	219
148	214	217
149	216	216
150	217	214
151	219	213
152	221	212
153	223	211
154	224	210
155	225	208
156	227	206
157	228	205
158	230	204
159	231	202
160	232	200
161	234	199
162	235	197
163	236	196
164	237	194
165	240	194
166	241	192
167	243	190
168	244	189
169	245	187
170	247	186
171	248	184
172	249	183
173	251	181
174	252	180
175	253	178
176	255	177
177	256	175
178	257	174
179	259	172
180	261	171
181	263	170
182	264	169
183	265	167
184	267	165
185	268	164
186	269	163
187	271	161
188	272	159
189	273	158
190	274	156
191	276	155
192	277	153
193	279	152
194	281	151
195	282	149
196	283	148
197	285	146
198	286	145
199	287	143
200	289	142
201	290	141
202	291	139
203	293	138
204	294	136
205	296	135
206	297	133
207	298	132
208	300	130
209	303	129
210	304	128
211	305	126
212	307	125
213	308	124
214	309	122
215	311	121
216	312	119
217	314	118
218	317	117
219	321	117
220	324	115
221	325	114
222	327	113
223	329	111
224	330	110
225	331	108
226	333	107
227	334	105
228	335	104
229	337	102
230	338	101
231	339	99
232	341	98
233	342	96
234	343	95
235	345	93
236	346	92
237	347	90
238	349	89
239	350	87
240	351	86
241	353	84
242	354	83
243	356	81
244	357	80
245	358	78
246	360	77
247	361	75
248	362	74
249	364	72
250	365	71
251	366	69
252	368	68
253	369	66
254	370	65
255	372	63
256	373	62
257	374	61
258	376	59
259	377	58
260	379	56
261	380	55
262	381	53
263	382	52
264	384	50
265	385	49
266	386	47
267	388	46
268	389	44
269	391	43
270	393	42
271	394	40
272	395	39
273	397	37
274	398	36
275	399	34
276	400	33
277	402	31
278	403	30
279	404	28
280	406	27
281	408	26
282	410	24
283	411	23
284	412	21
285	414	20
286	415	18
287	417	17
288	418	15
289	419	14
290	420	13
291	422	11
292	423	10
293	425	8
294	427	7
295	429	5
296	430	4
297	431	2
298	433	1
299	434	0
